id,uw,gauge,group_id,group
BEB028,2.2167e-05,0.0285,BEB,Black Nylon
BEB032,2.8953e-05,0.0327,BEB,Black Nylon
BEB040,4.5239e-05,0.04,BEB,Black Nylon
BEB031W,0.00012253,0.031,BEBW,80/20 Bronze
BEB037W,0.00020248,0.037,BEBW,80/20 Bronze
BEB045W,0.00033228,0.045,BEBW,80/20 Bronze
BEC028,2.2167e-05,0.028,BEC,Clear Nylon
BEC032,2.8953e-05,0.032,BEC,Clear Nylon
BEC040,4.5239e-05,0.04,BEC,Clear Nylon
BES031W,0.00010422,0.031,BESW,Silver Plated Copper
BES037W,0.00019877,0.037,BESW,Silver Plated Copper
BES045W,0.00034353,0.045,BESW,Silver Plated Copper
BW022,9.5354e-05,0.022,BW,80/20 Bronze
BW023,0.00010502,0.023,BW,80/20 Bronze
BW024,0.00011299,0.024,BW,80/20 Bronze
BW025,0.00012348,0.025,BW,80/20 Bronze
BW026,0.00013212,0.026,BW,80/20 Bronze
BW027,0.00014292,0.027,BW,80/20 Bronze
BW030,0.00017847,0.03,BW,80/20 Bronze
BW032,0.00019974,0.032,BW,80/20 Bronze
BW035,0.00023409,0.035,BW,80/20 Bronze
BW039,0.00029245,0.039,BW,80/20 Bronze
BW042,0.00033693,0.042,BW,80/20 Bronze
BW045,0.00038782,0.045,BW,80/20 Bronze
BW047,0.00041951,0.047,BW,80/20 Bronze
BW052,0.00051068,0.052,BW,80/20 Bronze
BW053,0.00052545,0.053,BW,80/20 Bronze
BW056,0.00058458,0.056,BW,80/20 Bronze
CB040,0.00032889,0.04,CB,Stainless Steel
CB045,0.00040863,0.045,CB,Stainless Steel
CB050,0.00050512,0.05,CB,Stainless Steel
CB060,0.00074559,0.06,CB,Stainless Steel
CB065,0.0008356,0.065,CB,Stainless Steel
CB070,0.00097902,0.07,CB,Stainless Steel
CB075,0.0011131,0.075,CB,Stainless Steel
CB080,0.0012615,0.08,CB,Stainless Steel
CB085,0.0014261,0.085,CB,Stainless Steel
CB100,0.0019816,0.1,CB,Stainless Steel
CB105,0.002122,0.105,CB,Stainless Steel
CG020,9.2071e-05,0.02,CG,Stainless Steel
CG022,0.00011093,0.022,CG,Stainless Steel
CG024,0.00013154,0.024,CG,Stainless Steel
CG026,0.0001539,0.026,CG,Stainless Steel
CG028,0.00017332,0.028,CG,Stainless Steel
CG030,0.00018412,0.03,CG,Stainless Steel
CG032,0.00020793,0.032,CG,Stainless Steel
CG035,0.00024687,0.035,CG,Stainless Steel
CG038,0.00029025,0.038,CG,Stainless Steel
CG040,0.0003301,0.04,CG,Stainless Steel
CG042,0.00034959,0.042,CG,Stainless Steel
CG045,0.00040856,0.045,CG,Stainless Steel
CG048,0.00046825,0.048,CG,Stainless Steel
CG050,0.0004849,0.05,CG,Stainless Steel
CG052,0.00051856,0.052,CG,Stainless Steel
CG056,0.00060431,0.056,CG,Stainless Steel
CG065,0.00085843,0.065,CG,Stainless Steel
FT023,0.00014048,0.023,FT,Phosphor Bronze
FT024,0.00015222,0.024,FT,Phosphor Bronze
FT026,0.00017857,0.026,FT,Phosphor Bronze
X1AGFPP028-GR,0.00016456,0.028,FT,Phosphor Bronze
X1AGFPP030-K,0.00020002,0.03,FT,Phosphor Bronze
X1AGFPP032-K,0.00023925,0.032,FT,Phosphor Bronze
X1AGFPP035-K,0.00027697,0.035,FT,Phosphor Bronze
X1AGFPP036-K,0.0002929,0.036,FT,Phosphor Bronze
X1AGFPP039-R,0.00032611,0.039,FT,Phosphor Bronze
X1AGFPP042-R,0.00036091,0.042,FT,Phosphor Bronze
X1AGFPP044-R,0.00040712,0.044,FT,Phosphor Bronze
X1AGFPP045-R,0.0004202,0.045,FT,Phosphor Bronze
X1AGFPP047,0.00045626,0.047,FT,Phosphor Bronze
X1AGFPP053,0.00056994,0.053,FT,Phosphor Bronze
X1AGFPP056,0.00063151,0.056,FT,Phosphor Bronze
J6203,0.00011299,0.024,J,Various
U1AMFN0250,1.7671e-05,0.025,J,Various
J4301,2.1383e-05,0.0275,J,Various
J2701,2.2167e-05,0.028,J,Various
J4304,9.7088e-05,0.028,J,Various
J4501,2.2167e-05,0.028,J,Various
J27H01,2.2966e-05,0.0285,J,Various
J4601,2.2966e-05,0.0285,J,Various
J2704,0.00010754,0.029,J,Various
J4401,2.3779e-05,0.029,J,Various
J4504,0.00010754,0.029,J,Various
J27H04,0.0001118,0.03,J,Various
J4604,0.0001118,0.03,J,Various
J4302,2.8413e-05,0.0317,J,Various
J2702,2.9316e-05,0.0322,J,Various
J4502,2.9316e-05,0.0322,J,Various
J27H02,3.0234e-05,0.0327,J,Various
J4602,3.0234e-05,0.0327,J,Various
J4305,0.0001695,0.033,J,Various
J3102,3.1165e-05,0.0332,J,Various
J4402,3.1165e-05,0.0332,J,Various
J6204,0.00022232,0.034,J,Various
J2705,0.0001949,0.035,J,Various
J3005,3.4636e-05,0.035,J,Various
J4505,0.0001949,0.035,J,Various
J27H05,0.00020804,0.036,J,Various
J4605,0.00020804,0.036,J,Various
J4303,4.4563e-05,0.0397,J,Various
J2703,4.592e-05,0.0403,J,Various
J4503,4.592e-05,0.0403,J,Various
J27H03,4.7529e-05,0.0409,J,Various
J4603,4.7529e-05,0.041,J,Various
J3103,4.8696e-05,0.0415,J,Various
J4403,4.8696e-05,0.0415,J,Various
J4306,0.00028498,0.042,J,Various
J4506,0.0003101,0.043,J,Various
J4606,0.00033248,0.044,J,Various
J4406,0.00034232,0.045,J,Various
J4604C,0.00010521,0.029,JC,Various
J4404C,0.00010988,0.03,JC,Various
J4505C,0.00018034,0.035,JC,Various
J4405C,0.0002082,0.036,JC,Various
J4503C,4.738e-05,0.036,JC,Various
J4603C,5.0105e-05,0.037,JC,Various
J4403C,5.2822e-05,0.038,JC,Various
J4606C,0.00035754,0.046,JC,Various
J4406C,0.00036803,0.047,JC,Various
J4504LP,9.156e-05,0.027,JLP,Polished Silver Plated Copper
J4604LP,0.00010265,0.028,JLP,Polished Silver Plated Copper
J4505LP,0.00017618,0.033,JLP,Polished Silver Plated Copper
J4605LP,0.00020338,0.035,JLP,Polished Silver Plated Copper
J4506LP,0.00032599,0.043,JLP,Polished Silver Plated Copper
J4606LP,0.00034966,0.044,JLP,Polished Silver Plated Copper
LE009,1.7953e-05,0.009,LE,Tin Coated Steel
LE0095,2.0003e-05,0.0095,LE,Tin Coated Steel
LE010,2.2164e-05,0.01,LE,Tin Coated Steel
LE011,2.6818e-05,0.011,LE,Tin Coated Steel
LE0115,2.9312e-05,0.0115,LE,Tin Coated Steel
LE012,3.1916e-05,0.012,LE,Tin Coated Steel
LE013,3.7457e-05,0.013,LE,Tin Coated Steel
LE014,4.3441e-05,0.014,LE,Tin Coated Steel
LE015,4.9869e-05,0.015,LE,Tin Coated Steel
LE016,5.674e-05,0.016,LE,Tin Coated Steel
LE020PB,7.9816e-05,0.02,LEPB,Phosphor Bronze
LE022PB,9.7982e-05,0.022,LEPB,Phosphor Bronze
LE023PB,0.0001078,0.023,LEPB,Phosphor Bronze
LE026PB,0.0001358,0.026,LEPB,Phosphor Bronze
LE028PB,0.00015684,0.028,LEPB,Phosphor Bronze
LE030PB,0.00018386,0.03,LEPB,Phosphor Bronze
LE032PB,0.00020607,0.032,LEPB,Phosphor Bronze
LE034PB,0.00023221,0.034,LEPB,Phosphor Bronze
LE036PB,0.00026213,0.036,LEPB,Phosphor Bronze
LE038PB,0.00028622,0.038,LEPB,Phosphor Bronze
LE040PB,0.00031949,0.04,LEPB,Phosphor Bronze
LE046PB,0.00042114,0.046,LEPB,Phosphor Bronze
LE049PB,0.00047233,0.049,LEPB,Phosphor Bronze
LE052PB,0.00052954,0.052,LEPB,Phosphor Bronze
LE062PB,0.00074623,0.062,LEPB,Phosphor Bronze
LE078PB,0.0011435,0.078,LEPB,Phosphor Bronze
LE092PB,0.0015849,0.092,LEPB,Phosphor Bronze
LE020W,7.4003e-05,0.02,LEW,Nickel Plated Steel
LE022W,9.1392e-05,0.022,LEW,Nickel Plated Steel
LE023W,0.00010082,0.023,LEW,Nickel Plated Steel
LE024W,0.00010827,0.024,LEW,Nickel Plated Steel
LE028W,0.0001454,0.028,LEW,Nickel Plated Steel
LE030W,0.00017034,0.03,LEW,Nickel Plated Steel
LE036W,0.00023359,0.036,LEW,Nickel Plated Steel
NB022,9.759e-05,0.022,NB,Nickel Plated Bronze
NB023,0.00010738,0.023,NB,Nickel Plated Bronze
NB024,0.00011566,0.024,NB,Nickel Plated Bronze
NB025,0.00012629,0.025,NB,Nickel Plated Bronze
NB026,0.00013525,0.026,NB,Nickel Plated Bronze
NB027,0.00014645,0.027,NB,Nickel Plated Bronze
NB030,0.00018306,0.03,NB,Nickel Plated Bronze
NB032,0.00020512,0.032,NB,Nickel Plated Bronze
NB035,0.00024572,0.035,NB,Nickel Plated Bronze
NB039,0.000301,0.039,NB,Nickel Plated Bronze
NB042,0.00035313,0.042,NB,Nickel Plated Bronze
NB045,0.00039991,0.045,NB,Nickel Plated Bronze
NB047,0.00043278,0.047,NB,Nickel Plated Bronze
NB052,0.00052672,0.052,NB,Nickel Plated Bronze
NB053,0.00054236,0.053,NB,Nickel Plated Bronze
NB056,0.00060337,0.056,NB,Nickel Plated Bronze
NHR030,0.00019791,0.03,NHR,Pure Nickel
NHR040,0.00033047,0.04,NHR,Pure Nickel
NHR045,0.00039373,0.045,NHR,Pure Nickel
NHR050,0.00049463,0.05,NHR,Pure Nickel
NHR060,0.000601,0.06,NHR,Pure Nickel
NHR065,0.00066125,0.065,NHR,Pure Nickel
NHR070,0.00076035,0.07,NHR,Pure Nickel
NHR075,0.00087782,0.075,NHR,Pure Nickel
NHR080,0.00099156,0.08,NHR,Pure Nickel
NHR085,0.0010876,0.085,NHR,Pure Nickel
NHR095,0.0016343,0.095,NHR,Pure Nickel
NHR100,0.0017945,0.1,NHR,Pure Nickel
NHR105,0.0020131,0.105,NHR,Pure Nickel
NHR130,0.0030002,0.13,NHR,Pure Nickel
