id,uw,gauge,group,group_id
PL009,1.81e-05,0.009,Acoustic - Plain,PL
PL0095,2.159e-05,0.0095,Acoustic - Plain,PL
PL010,2.27e-05,0.01,Acoustic - Plain,PL
PL0105,2.5e-05,0.0105,Acoustic - Plain,PL
PL011,2.95e-05,0.011,Acoustic - Plain,PL
PL0115,3.08e-05,0.0115,Acoustic - Plain,PL
PL012,3.4e-05,0.012,Acoustic - Plain,PL
PL0125,3.54e-05,0.0125,Acoustic - Plain,PL
PL013,3.86e-05,0.013,Acoustic - Plain,PL
PL014,4.77e-05,0.014,Acoustic - Plain,PL
PL015,5.28e-05,0.015,Acoustic - Plain,PL
PL016,5.9e-05,0.016,Acoustic - Plain,PL
PL017,6.81e-05,0.017,Acoustic - Plain,PL
PL018,7.27e-05,0.018,Acoustic - Plain,PL
PL019,7.72e-05,0.019,Acoustic - Plain,PL
PL020,8.41e-05,0.02,Acoustic - Plain,PL
PL021,9.32e-05,0.021,Acoustic - Plain,PL
PL022,0.0001159,0.022,Acoustic - Plain,PL
PL023,0.0001365,0.023,Acoustic - Plain,PL
PL024,0.0001432,0.024,Acoustic - Plain,PL
PL026,0.0001568,0.026,Acoustic - Plain,PL
PL028,0.0001706,0.028,Acoustic - Plain,PL
BB18,7.672e-05,0.018,Acoustic - Bright Bronze,BB
BB20,9.339e-05,0.02,Acoustic - Bright Bronze,BB
BB22,0.0001053,0.022,Acoustic - Bright Bronze,BB
BB24,0.0001136,0.024,Acoustic - Bright Bronze,BB
BB26,0.0001338,0.026,Acoustic - Bright Bronze,BB
BB28,0.0001588,0.028,Acoustic - Bright Bronze,BB
BB30,0.0001757,0.03,Acoustic - Bright Bronze,BB
BB32,0.0002084,0.032,Acoustic - Bright Bronze,BB
BB34,0.0002542,0.034,Acoustic - Bright Bronze,BB
BB36,0.0002584,0.036,Acoustic - Bright Bronze,BB
BB38,0.0002792,0.038,Acoustic - Bright Bronze,BB
BB40,0.0003181,0.04,Acoustic - Bright Bronze,BB
BB42,0.0003528,0.042,Acoustic - Bright Bronze,BB
BB44,0.0003931,0.044,Acoustic - Bright Bronze,BB
BB46,0.0004257,0.046,Acoustic - Bright Bronze,BB
BB48,0.0004494,0.048,Acoustic - Bright Bronze,BB
BB50,0.0004949,0.05,Acoustic - Bright Bronze,BB
BB52,0.0005161,0.052,Acoustic - Bright Bronze,BB
BB54,0.0005561,0.054,Acoustic - Bright Bronze,BB
BB56,0.0006078,0.056,Acoustic - Bright Bronze,BB
BB58,0.0006439,0.058,Acoustic - Bright Bronze,BB
BB60,0.0007876,0.06,Acoustic - Bright Bronze,BB
B18,7.394e-05,0.018,Acoustic - Phosphor Bronze,B
B20,8.506e-05,0.02,Acoustic - Phosphor Bronze,B
B22,9.971e-05,0.022,Acoustic - Phosphor Bronze,B
B24,0.0001247,0.024,Acoustic - Phosphor Bronze,B
B26,0.0001556,0.026,Acoustic - Phosphor Bronze,B
B28,0.0001644,0.028,Acoustic - Phosphor Bronze,B
B30,0.0002062,0.03,Acoustic - Phosphor Bronze,B
B32,0.0002139,0.032,Acoustic - Phosphor Bronze,B
B34,0.0002431,0.034,Acoustic - Phosphor Bronze,B
B36,0.0002611,0.036,Acoustic - Phosphor Bronze,B
B38,0.0002931,0.038,Acoustic - Phosphor Bronze,B
B40,0.0003146,0.04,Acoustic - Phosphor Bronze,B
B42,0.000359,0.042,Acoustic - Phosphor Bronze,B
B44,0.0003987,0.044,Acoustic - Phosphor Bronze,B
B46,0.0003868,0.046,Acoustic - Phosphor Bronze,B
B48,0.0004716,0.048,Acoustic - Phosphor Bronze,B
B50,0.0005005,0.05,Acoustic - Phosphor Bronze,B
B52,0.0005105,0.052,Acoustic - Phosphor Bronze,B
B54,0.0006116,0.054,Acoustic - Phosphor Bronze,B
B56,0.0006283,0.056,Acoustic - Phosphor Bronze,B
B58,0.000648,0.058,Acoustic - Phosphor Bronze,B
B60,0.0007154,0.06,Acoustic - Phosphor Bronze,B
TCB21,0.00010625,0.021,Acoustic - Thin Core Phosphor Bronze,TCB
TCB24,0.00012324,0.024,Acoustic - Thin Core Phosphor Bronze,TCB
TCB27,0.00014561,0.027,Acoustic - Thin Core Phosphor Bronze,TCB
TCB32,0.0002011,0.032,Acoustic - Thin Core Phosphor Bronze,TCB
TCB35,0.00024643,0.035,Acoustic - Thin Core Phosphor Bronze,TCB
TCB38,0.00028902,0.038,Acoustic - Thin Core Phosphor Bronze,TCB
TCB41,0.00036742,0.041,Acoustic - Thin Core Phosphor Bronze,TCB
TCB46,0.00041673,0.046,Acoustic - Thin Core Phosphor Bronze,TCB
TCB52,0.00050411,0.052,Acoustic - Thin Core Phosphor Bronze,TCB
TCB56,0.00059374,0.056,Acoustic - Thin Core Phosphor Bronze,TCB
WB20,7.687e-05,0.02,Acoustic - White Bronze,WB
WB22,0.000107,0.022,Acoustic - White Bronze,WB
WB24,0.0001097,0.024,Acoustic - White Bronze,WB
WB26,0.0001344,0.026,Acoustic - White Bronze,WB
WB30,0.000166,0.03,Acoustic - White Bronze,WB
WB32,0.0002002,0.032,Acoustic - White Bronze,WB
WB36,0.0002265,0.036,Acoustic - White Bronze,WB
WB38,0.0002786,0.038,Acoustic - White Bronze,WB
WB42,0.0003239,0.042,Acoustic - White Bronze,WB
WB46,0.0004011,0.046,Acoustic - White Bronze,WB
WB48,0.0004734,0.048,Acoustic - White Bronze,WB
WB50,0.0004964,0.05,Acoustic - White Bronze,WB
WB52,0.0005772,0.052,Acoustic - White Bronze,WB
WB54,0.0005956,0.054,Acoustic - White Bronze,WB
WB56,0.0006209,0.056,Acoustic - White Bronze,WB
VN18,7.394e-05,0.018,Acoustic - Vintage Bronze,VN
VN20,9.061e-05,0.02,Acoustic - Vintage Bronze,VN
VN22,9.971e-05,0.022,Acoustic - Vintage Bronze,VN
VN24,0.0001136,0.024,Acoustic - Vintage Bronze,VN
