id,mass,gauge,group,group_id
PL007,1.1943e-05,0.007,Plain Steel,PL
PL008,1.5609e-05,0.008,Plain Steel,PL
PL0085,1.7623e-05,0.0085,Plain Steel,PL
PL009,1.9747e-05,0.009,Plain Steel,PL
PL0095,2.2004e-05,0.0095,Plain Steel,PL
PL01,2.4382e-05,0.01,Plain Steel,PL
PL0105,2.688e-05,0.0105,Plain Steel,PL
PL011,2.95e-05,0.011,Plain Steel,PL
PL0115,3.2252e-05,0.0115,Plain Steel,PL
PL012,3.5114e-05,0.012,Plain Steel,PL
PL0125,3.8163e-05,0.0125,Plain Steel,PL
PL013,4.1212e-05,0.013,Plain Steel,PL
PL0135,4.4437e-05,0.0135,Plain Steel,PL
PL014,4.7794e-05,0.014,Plain Steel,PL
PL015,5.4861e-05,0.015,Plain Steel,PL
PL016,6.2423e-05,0.016,Plain Steel,PL
PL017,7.047e-05,0.017,Plain Steel,PL
PL018,7.9001e-05,0.018,Plain Steel,PL
PL019,8.8027e-05,0.019,Plain Steel,PL
PL02,9.7537e-05,0.02,Plain Steel,PL
PL022,0.00011802,0.022,Plain Steel,PL
PL024,0.00014046,0.024,Plain Steel,PL
N018,8.093e-05,0.018,Nickel,N
N02,8.73e-05,0.02,Nickel,N
N022,9.605e-05,0.022,Nickel,N
N024,0.00011485,0.024,Nickel,N
N026,0.00013774,0.026,Nickel,N
N028,0.00015979,0.028,Nickel,N
N03,0.00018104,0.03,Nickel,N
N032,0.00020818,0.032,Nickel,N
N034,0.00023192,0.034,Nickel,N
N036,0.00024888,0.036,Nickel,N
N038,0.0002811,0.038,Nickel,N
N04,0.00030838,0.04,Nickel,N
N042,0.00034625,0.042,Nickel,N
N044,0.00037225,0.044,Nickel,N
N046,0.00040108,0.046,Nickel,N
N048,0.00043738,0.048,Nickel,N
N05,0.00047877,0.05,Nickel,N
N052,0.00050703,0.052,Nickel,N
N054,0.00055734,0.054,Nickel,N
N056,0.00060313,0.056,Nickel,N
N058,0.00064031,0.058,Nickel,N
N06,0.00068762,0.06,Nickel,N
N062,0.0007472,0.062,Nickel,N
N064,0.00079889,0.064,Nickel,N
N068,0.00084614,0.068,Nickel,N
N07,0.00092256,0.07,Nickel,N
N072,0.00096239,0.072,Nickel,N
N074,0.0010242,0.074,Nickel,N
N08,0.00116,0.08,Nickel,N
N085,0.001337,0.085,Nickel,N
N09,0.0015028,0.09,Nickel,N
N095,0.0017766,0.095,Nickel,N
PB02,8.935e-05,0.02,Phosophor Bronze,PB
PB022,0.00010453,0.022,Phosophor Bronze,PB
PB024,0.0001205,0.024,Phosophor Bronze,PB
PB025,0.00013039,0.025,Phosophor Bronze,PB
PB028,0.00016996,0.028,Phosophor Bronze,PB
PB03,0.00019122,0.03,Phosophor Bronze,PB
PB032,0.00021948,0.032,Phosophor Bronze,PB
PB034,0.00023644,0.034,Phosophor Bronze,PB
PB038,0.00030933,0.038,Phosophor Bronze,PB
PB04,0.0003406,0.04,Phosophor Bronze,PB
PB042,0.00037451,0.042,Phosophor Bronze,PB
PB044,0.00039713,0.044,Phosophor Bronze,PB
PB046,0.00043713,0.046,Phosophor Bronze,PB
PB048,0.0004766,0.048,Phosophor Bronze,PB
PB05,0.00054354,0.05,Phosophor Bronze,PB
PB052,0.0005764,0.052,Phosophor Bronze,PB
PB054,0.00062728,0.054,Phosophor Bronze,PB
PB056,0.00067662,0.056,Phosophor Bronze,PB
PB059,0.00077224,0.059,Phosophor Bronze,PB
PB07,0.0010102,0.07,Phosophor Bronze,PB
B02,9.5e-05,0.02,80/20 Bronze,B
B022,0.00010453,0.022,80/20 Bronze,B
B024,0.0001205,0.024,80/20 Bronze,B
B025,0.00013039,0.025,80/20 Bronze,B
B028,0.00017053,0.028,80/20 Bronze,B
B03,0.00019348,0.03,80/20 Bronze,B
B032,0.00021666,0.032,80/20 Bronze,B
B034,0.00023079,0.034,80/20 Bronze,B
B038,0.00031276,0.038,80/20 Bronze,B
B04,0.00033721,0.04,80/20 Bronze,B
B042,0.00037338,0.042,80/20 Bronze,B
B044,0.00040334,0.044,80/20 Bronze,B
B05,0.00053845,0.05,80/20 Bronze,B
B052,0.0005764,0.052,80/20 Bronze,B
B054,0.00063293,0.054,80/20 Bronze,B
B056,0.00067097,0.056,80/20 Bronze,B
BN025,0.00014277,0.025,Bass Nickel,BN
BN03,0.00018173,0.03,Bass Nickel,BN
BN035,0.00022576,0.035,Bass Nickel,BN
BN04,0.00029254,0.04,Bass Nickel,BN
BN045,0.00039025,0.045,Bass Nickel,BN
BN05,0.00044866,0.05,Bass Nickel,BN
BN055,0.00054649,0.055,Bass Nickel,BN
BN06,0.00065431,0.06,Bass Nickel,BN
BN065,0.00077758,0.065,Bass Nickel,BN
BN07,0.00087143,0.07,Bass Nickel,BN
BN075,0.00099196,0.075,Bass Nickel,BN
BN08,0.001243,0.08,Bass Nickel,BN
BN085,0.0013644,0.085,Bass Nickel,BN
BN09,0.0015028,0.09,Bass Nickel,BN
BN095,0.0017766,0.095,Bass Nickel,BN
BN1,0.0018626,0.1,Bass Nickel,BN
BN105,0.0020788,0.105,Bass Nickel,BN
BN11,0.0021978,0.11,Bass Nickel,BN
BN115,0.0024181,0.115,Bass Nickel,BN
BN12,0.0027428,0.12,Bass Nickel,BN
BN125,0.0030317,0.125,Bass Nickel,BN
BN13,0.0033801,0.13,Bass Nickel,BN
BN135,0.0035101,0.135,Bass Nickel,BN
BN14,0.0036462,0.14,Bass Nickel,BN
BN145,0.0038657,0.145,Bass Nickel,BN
BN155,0.0041151,0.155,Bass Nickel,BN
BN165,0.0043806,0.165,Bass Nickel,BN
PN022,9.595e-05,0.022,Pure Nickel,PN
PN024,0.00011405,0.024,Pure Nickel,PN
PN026,0.00013704,0.026,Pure Nickel,PN
PN028,0.00015909,0.028,Pure Nickel,PN
PN03,0.00018034,0.03,Pure Nickel,PN
PN032,0.00020752,0.032,Pure Nickel,PN
PN034,0.00023122,0.034,Pure Nickel,PN
PN036,0.00024818,0.036,Pure Nickel,PN
PN038,0.0002804,0.038,Pure Nickel,PN
PN04,0.00030758,0.04,Pure Nickel,PN
PN042,0.00034545,0.042,Pure Nickel,PN
PN044,0.00037135,0.044,Pure Nickel,PN
PN046,0.00040018,0.046,Pure Nickel,PN
PN048,0.00043648,0.048,Pure Nickel,PN
PN05,0.00047787,0.05,Pure Nickel,PN
PN052,0.00050613,0.052,Pure Nickel,PN
